symbol,company,weight,sector,shares_held
EIX,Edison International,7.796973140348749e-4,Utilities,3555966
KEY,KeyCorp,7.721013974995263e-4,Financials,11538640
BLL,Ball Corporation,7.681683339970337e-4,Materials,3787163
IDXX,IDEXX Laboratories Inc.,7.663869464564643e-4,Health Care,949880
MKC,McCormick & Company Incorporated,7.659566112640798e-4,Consumer Staples,1330615
FLT,FleetCor Technologies Inc.,7.639550522297322e-4,Information Technology,967947
ESS,Essex Property Trust Inc.,7.627541168091238e-4,Real Estate,720984
TDG,TransDigm Group Incorporated,7.591012715714397e-4,Industrials,530736
AMP,Ameriprise Financial Inc.,7.555184808999578e-4,Financials,1554746
NEM,Newmont Mining Corporation,7.544276312262385e-4,Materials,5822668
AWK,American Water Works Company Inc.,7.511951133857673e-4,Utilities,1980600
OMC,Omnicom Group Inc,7.491935543514198e-4,Communication Services,2459106
RMD,ResMed Inc.,7.47472213581881e-4,Health Care,1553664
CBS,CBS Corporation Class B,7.416176534064148e-4,Communication Services,3711036
HIG,Hartford Financial Services Group Inc.,7.384051511562871e-4,Financials,3908100
FAST,Fastenal Company,7.375444807715177e-4,Industrials,3139013
AME,AMETEK Inc.,7.374844340004873e-4,Industrials,2526716
CHD,Church & Dwight Co. Inc.,7.372342391211938e-4,Consumer Staples,2669770
RSG,Republic Services Inc.,7.360633270861006e-4,Industrials,2392531
HRS,Harris Corporation,7.350825631592704e-4,Industrials,1293839
AEE,Ameren Corporation,7.305590397416451e-4,Utilities,2658606
FANG,Diamondback Energy Inc.,7.299986032120278e-4,Energy,1686238
RF,Regions Financial Corporation,7.29688361561704e-4,Financials,11407673
FRC,First Republic Bank,7.26255687817798e-4,Financials,1852393
CFG,Citizens Financial Group Inc.,7.261656176612525e-4,Financials,5227590
ULTA,Ulta Beauty Inc,7.247445107468657e-4,Consumer Discretionary,622994
NTAP,NetApp Inc.,7.228029984835487e-4,Information Technology,2848746
WAT,Waters Corporation,7.00475607455403e-4,Health Care,844848
ALGN,Align Technology Inc.,6.995348747092598e-4,Health Care,802731
CTAS,Cintas Corporation,6.995048513237446e-4,Industrials,943616
ETR,Entergy Corporation,6.954416864840191e-4,Utilities,1972771
EVRG,Evergy Inc.,6.876856452259229e-4,Utilities,2965078
MYL,Mylan N.V.,6.849335015536952e-4,Health Care,5656601
HSY,Hershey Company,6.773475928135183e-4,Consumer Staples,1533688
K,Kellogg Company,6.747755894543819e-4,Consumer Staples,2777899
MXIM,Maxim Integrated Products Inc.,6.67880218581055e-4,Information Technology,3092224
ABMD,ABIOMED Inc.,6.664591116666682e-4,Health Care,492381
MTD,Mettler-Toledo International Inc.,6.649279190053925e-4,Health Care,276115
CTL,CenturyLink Inc.,6.555305993391313e-4,Communication Services,10428754
KLAC,KLA-Tencor Corporation,6.528284946427621e-4,Information Technology,1714572
CNP,CenterPoint Energy Inc.,6.527784556669034e-4,Utilities,5392871
TSS,Total System Services Inc.,6.505767407291212e-4,Information Technology,1841658
CAH,Cardinal Health Inc.,6.495659534167759e-4,Health Care,3290856
CMS,CMS Energy Corporation,6.492056727905932e-4,Utilities,3107768
HCP,HCP Inc.,6.432110034827227e-4,Real Estate,5265679
HBAN,Huntington Bancshares Incorporated,6.420000602669425e-4,Financials,11727211
MSCI,MSCI Inc. Class A,6.408791872077079e-4,Financials,973073
MGM,MGM Resorts International,6.383171916437432e-4,Consumer Discretionary,5615594
GPC,Genuine Parts Company,6.351146971887874e-4,Consumer Discretionary,1596894
LLL,L3 Technologies Inc,6.242862628129676e-4,Industrials,855911
EXPE,Expedia Group Inc.,6.227650779468635e-4,Consumer Discretionary,1302209
CBRE,CBRE Group Inc. Class A,6.219444387427811e-4,Real Estate,3469284
LH,Laboratory Corporation of America Holdings,6.19132248299523e-4,Health Care,1117074
INCY,Incyte Corporation,6.188320144443709e-4,Health Care,1919676
AAL,American Airlines Group Inc.,6.180313908306319e-4,Industrials,4491503
CTXS,Citrix Systems Inc.,6.167503930486495e-4,Information Technology,1405745
IFF,International Flavors & Fragrances Inc.,6.166002761210734e-4,Materials,1110527
BBY,Best Buy Co. Inc.,6.128173295461567e-4,Consumer Discretionary,2586553
GWW,W.W. Grainger Inc.,6.113361758607397e-4,Industrials,498499
MRO,Marathon Oil Corporation,6.033099241330063e-4,Energy,9324453
DRI,Darden Restaurants Inc.,6.022490978448023e-4,Consumer Discretionary,1360745
AJG,Arthur J. Gallagher & Co.,6.021890510737719e-4,Financials,1988356
VMC,Vulcan Materials Company,5.983660733181683e-4,Materials,1443092
ANSS,ANSYS Inc.,5.95593914055597e-4,Information Technology,918131
SNPS,Synopsys Inc.,5.902497514338893e-4,Information Technology,1615949
LEN,Lennar Corporation Class A,5.876577324844094e-4,Consumer Discretionary,3202630
HES,Hess Corporation,5.869972180030747e-4,Energy,2763340
COO,Cooper Companies Inc.,5.865468672203466e-4,Health Care,535114
L,Loews Corporation,5.857662591969511e-4,Financials,3054518
PFG,Principal Financial Group Inc.,5.840849496080992e-4,Financials,2908395
ARE,Alexandria Real Estate Equities Inc.,5.832042636329864e-4,Real Estate,1159484
CMA,Comerica Incorporated,5.827839362357734e-4,Financials,1784504
WCG,WellCare Health Plans Inc.,5.820933983689235e-4,Health Care,548239
HST,Host Hotels & Resorts Inc.,5.811026266469215e-4,Real Estate,8089823
